Time(s),é≤Ç–Ç∏Ç›(ñ≥éüå≥)xëùïùåWêî,é¿å¯ÇÃïΩãœëYê´Ç–Ç∏Ç›(%),é¿å¯ÇÃó›êœëYê´Ç–Ç∏Ç›(%),ê‚ëŒílç≈ëÂé≤Ç–Ç∏Ç›(%),çúäiî‰,îÊòJîjâÛÇ™ê∂Ç∂ÇÈó›êœëYê´Ç–Ç∏Ç›(%),îªíË(1:îÊòJîjâÛ),É}ÉCÉiÅ[ë•Ç≈ï]âøÇµÇΩéûÇÃëπèùìxD
5.3,-0.001020321,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.33,-0.001016394,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.36,-0.001024248,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.42,-0.001016394,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.43,-0.001020321,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.45,-0.001016394,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.48,-0.001024248,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.5,-0.001020321,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.55,-0.001028079,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.56,-0.001024248,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.59,-0.001028079,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.61,-0.001020321,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.67,-0.001028079,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.74,-0.001024248,0.0,0.0,0.10280790000000001,0.0,99999999999.9,0,0.0
5.77,-0.001031911,0.0,0.0,0.1031911,0.0,99999999999.9,0,0.0
6.67,-0.000632869,0.0,0.0,0.1031911,0.0,99999999999.9,0,0.0
6.68,-0.000636796,0.0,0.0,0.1031911,0.0,99999999999.9,0,0.0
8.47,0.000145867,0.0,0.0,0.1031911,0.0,99999999999.9,0,0.0
