Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          34,       0.6000000000000000,       0.1133333333333332,      20.4000000000000057,     0.10200E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.10200E+01,     0.50000E+02,           2,
           1,          35,       0.6000000000000000,       0.1166666666666666,      21.0000000000000071,     0.10500E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.10500E+01,     0.50000E+02,           2,
           1,          36,       0.6000000000000000,       0.1199999999999999,      21.6000000000000085,     0.10800E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.10800E+01,     0.50000E+02,           2,
           1,          37,       0.6000000000000000,       0.1233333333333332,      22.2000000000000099,     0.11100E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.11100E+01,     0.50000E+02,           2,
           1,          38,       0.6000000000000000,       0.1266666666666666,      22.8000000000000114,     0.11400E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.11400E+01,     0.50000E+02,           2,
           1,          39,       0.6000000000000000,       0.1299999999999999,      23.4000000000000128,     0.11700E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.11700E+01,     0.50000E+02,           2,
           1,          40,       0.6000000000000000,       0.1333333333333332,      24.0000000000000142,     0.12000E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.12000E+01,     0.50000E+02,           2,
           1,          41,       0.6000000000000000,       0.1366666666666665,      24.6000000000000156,     0.12300E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.12300E+01,     0.50000E+02,           2,
           1,          42,       0.6000000000000000,       0.1399999999999999,      25.2000000000000171,     0.12600E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.12600E+01,     0.50000E+02,           2,
           1,          43,       0.6000000000000000,       0.1433333333333332,      25.8000000000000185,     0.12900E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.12900E+01,     0.50000E+02,           2,
           1,          44,       0.6000000000000000,       0.1466666666666665,      26.4000000000000199,     0.13200E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.13200E+01,     0.50000E+02,           2,
           1,          45,       0.6000000000000000,       0.1499999999999999,      27.0000000000000213,     0.13500E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.13500E+01,     0.50000E+02,           2,
