Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          29,       5.5555555555555562,       0.0966666666666666,     161.1111111111110574,     0.96667E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.96667E+00,     0.60001E+01,           2,
           1,          30,       5.5555555555555562,       0.0999999999999999,     166.6666666666666003,     0.10000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.10000E+01,     0.60001E+01,           2,
           1,          31,       5.5555555555555562,       0.1033333333333333,     172.2222222222221433,     0.10333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.10333E+01,     0.60001E+01,           2,
           1,          32,       5.5555555555555562,       0.1066666666666666,     177.7777777777776862,     0.10667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.10667E+01,     0.60001E+01,           2,
           1,          33,       5.5555555555555562,       0.1099999999999999,     183.3333333333332291,     0.11000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.11000E+01,     0.60001E+01,           2,
           1,          34,       5.5555555555555562,       0.1133333333333332,     188.8888888888887720,     0.11333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.11333E+01,     0.60001E+01,           2,
           1,          35,       5.5555555555555562,       0.1166666666666666,     194.4444444444443150,     0.11667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.11667E+01,     0.60001E+01,           2,
           1,          36,       5.5555555555555562,       0.1199999999999999,     199.9999999999998579,     0.12000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.12000E+01,     0.60001E+01,           2,
           1,          37,       5.5555555555555562,       0.1233333333333332,     205.5555555555554008,     0.12333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.12333E+01,     0.60001E+01,           2,
           1,          38,       5.5555555555555562,       0.1266666666666666,     211.1111111111109437,     0.12667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.12667E+01,     0.60001E+01,           2,
           1,          39,       5.5555555555555562,       0.1299999999999999,     216.6666666666664867,     0.13000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.13000E+01,     0.60001E+01,           2,
           1,          40,       5.5555555555555562,       0.1333333333333332,     222.2222222222220296,     0.13333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.13333E+01,     0.60001E+01,           2,
           1,          41,       5.5555555555555562,       0.1366666666666665,     227.7777777777775725,     0.13667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.13667E+01,     0.60001E+01,           2,
           1,          42,       5.5555555555555562,       0.1399999999999999,     233.3333333333331154,     0.14000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.14000E+01,     0.60001E+01,           2,
           1,          43,       5.5555555555555562,       0.1433333333333332,     238.8888888888886584,     0.14333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.14333E+01,     0.60001E+01,           2,
           1,          44,       5.5555555555555562,       0.1466666666666665,     244.4444444444442013,     0.14667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.14667E+01,     0.60001E+01,           2,
           1,          45,       5.5555555555555562,       0.1499999999999999,     249.9999999999997442,     0.15000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.15000E+01,     0.60001E+01,           2,
           1,          46,       5.5555555555555562,       0.1533333333333332,     255.5555555555552871,     0.15333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.15333E+01,     0.60002E+01,           2,
           1,          47,       5.5555555555555562,       0.1566666666666665,     261.1111111111108585,     0.15667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.15667E+01,     0.60002E+01,           2,
           1,          48,       5.5555555555555562,       0.1599999999999998,     266.6666666666664014,     0.16000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.16000E+01,     0.60002E+01,           2,
           1,          49,       5.5555555555555562,       0.1633333333333332,     272.2222222222219443,     0.16333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.16333E+01,     0.60002E+01,           2,
           1,          50,       5.5555555555555562,       0.1666666666666665,     277.7777777777774872,     0.16667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.16667E+01,     0.60002E+01,           2,
           1,          51,       5.5555555555555562,       0.1699999999999998,     283.3333333333330302,     0.17000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.17000E+01,     0.60002E+01,           2,
           1,          52,       5.5555555555555562,       0.1733333333333331,     288.8888888888885731,     0.17333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.17333E+01,     0.60002E+01,           2,
           1,          53,       5.5555555555555562,       0.1766666666666665,     294.4444444444441160,     0.17667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.17667E+01,     0.60002E+01,           2,
           1,          54,       5.5555555555555562,       0.1799999999999998,     299.9999999999996589,     0.18000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.18000E+01,     0.60002E+01,           2,
           1,          55,       5.5555555555555562,       0.1833333333333331,     305.5555555555552019,     0.18333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.18333E+01,     0.60002E+01,           2,
           1,          56,       5.5555555555555562,       0.1866666666666665,     311.1111111111107448,     0.18667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.18667E+01,     0.60002E+01,           2,
           1,          57,       5.5555555555555562,       0.1899999999999998,     316.6666666666662877,     0.19000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.19000E+01,     0.60002E+01,           2,
           1,          58,       5.5555555555555562,       0.1933333333333331,     322.2222222222218306,     0.19333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.19333E+01,     0.60002E+01,           2,
           1,          59,       5.5555555555555562,       0.1966666666666664,     327.7777777777773736,     0.19667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.19667E+01,     0.60002E+01,           2,
           1,          60,       5.5555555555555562,       0.1999999999999998,     333.3333333333329165,     0.20000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.20000E+01,     0.60002E+01,           2,
           1,          61,       5.5555555555555562,       0.2033333333333331,     338.8888888888884594,     0.20333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.20333E+01,     0.60002E+01,           2,
           1,          62,       5.5555555555555562,       0.2066666666666664,     344.4444444444440023,     0.20667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.20667E+01,     0.60002E+01,           2,
           1,          63,       5.5555555555555562,       0.2099999999999997,     349.9999999999995453,     0.21000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.21000E+01,     0.60002E+01,           2,
           1,          64,       5.5555555555555562,       0.2133333333333331,     355.5555555555550882,     0.21333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.21333E+01,     0.60002E+01,           2,
           1,          65,       5.5555555555555562,       0.2166666666666664,     361.1111111111106311,     0.21667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.21667E+01,     0.60002E+01,           2,
           1,          66,       5.5555555555555562,       0.2199999999999997,     366.6666666666661740,     0.22000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.22000E+01,     0.60002E+01,           2,
           1,          67,       5.5555555555555562,       0.2233333333333331,     372.2222222222217169,     0.22333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.22333E+01,     0.60002E+01,           2,
           1,          68,       5.5555555555555562,       0.2266666666666664,     377.7777777777772599,     0.22667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.22667E+01,     0.60002E+01,           2,
           1,          69,       5.5555555555555562,       0.2299999999999997,     383.3333333333328028,     0.23000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.23000E+01,     0.60002E+01,           2,
           1,          70,       5.5555555555555562,       0.2333333333333330,     388.8888888888883457,     0.23333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.23333E+01,     0.60002E+01,           2,
           1,          71,       5.5555555555555562,       0.2366666666666664,     394.4444444444438886,     0.23667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.23667E+01,     0.60002E+01,           2,
           1,          72,       5.5555555555555562,       0.2399999999999997,     399.9999999999994316,     0.24000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.24000E+01,     0.60002E+01,           2,
           1,          73,       5.5555555555555562,       0.2433333333333330,     405.5555555555549745,     0.24333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.24333E+01,     0.60002E+01,           2,
           1,          74,       5.5555555555555562,       0.2466666666666663,     411.1111111111105174,     0.24667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.24667E+01,     0.60002E+01,           2,
