time(s),Base-Fx(kN),Base-Fy(kN),Base-Fz(kN)
52.0,3041.922099999998,155636.02999999994,1007.1959999999854
53.0,3650.7010000000023,-78756.85,-1969.7299999999955
54.0,937.15905,-98887.84999999995,-3832.350000000006
55.0,-5355.053100000005,-56572.2,-1762.6199999999767
56.0,-5831.159299999995,-73371.12000000004,-2675.2499999999964
57.0,-208.2327999999983,-11673.864909999998,1847.1029999999998
58.0,2044.8808999999997,108469.03999999998,-1655.359999999997
59.0,4165.990099999996,98587.51000000001,2349.230000000003
60.0,2711.9939999999974,-17307.83119999999,207.94499999999923
61.0,5104.809000000003,-54075.500000000015,-1044.750000000005
62.0,-7729.1412999999975,-76255.01,-1530.1399999999744
63.0,-5457.167,-44197.78499999999,81.73329999999078
64.0,-551.5684000000005,68835.64999999998,2010.5540000000042
65.0,344.22699999999764,31093.5326,-545.3099999999972
66.0,9655.849000000002,21382.89440000001,1451.1380000000047
67.0,2264.3317,-1350.1741100000017,-2030.075200000002
68.0,-4468.0617,-26128.200999999997,-169.81500000000153
69.0,-4452.257689999999,-6286.944099999999,-178.32200000000125
70.0,-2067.770199999997,-97391.98000000004,71.82200000000012
71.0,-268.0882399999999,683.9747000000001,357.4886
72.0,2314.815599999999,115907.85,1195.3700000000026
73.0,1883.7438799999982,79231.96999999997,2108.2230000000022
74.0,4526.655500000002,-8737.557499999997,-251.6446799999976
75.0,968.1920999999996,-11333.9255,-75.50599999999486
76.0,-7402.9256200000045,-112409.75000000001,-1521.6599999999926
77.0,-155.76530000000076,-59076.70000000003,298.2170000000003
78.0,-927.4684999999989,101094.59,484.4399999999878
79.0,-2091.3971000000006,75818.77000000002,3107.528999999993
80.0,8542.329979999995,28637.745149999977,105.15499999999827
81.0,6735.2660000000005,-11521.6061,-1002.4689999999994
82.0,-8006.4135000000015,-67115.41,-2528.069999999981
83.0,-1996.7291999999966,-43238.412999999986,-1221.710000000001
84.0,-2578.764769999997,14356.383000000002,641.9670000000002
85.0,-3593.8003999999987,-7702.818899999998,639.6989999999979
86.0,6168.266299999998,39157.569999999985,-79.1729999999983
87.0,4996.4923000000035,-2765.4790999999996,-1985.4798999999996
88.0,-2036.063999999999,-47225.61999999999,129.68500000000233
89.0,-1499.924100000003,12225.3414,-1032.2244000000028
90.0,-4853.6549,-4860.632497,-1169.6049999999996
91.0,-2415.1030000000014,-15520.229,763.0979999999952
92.0,6007.603000000003,38505.61000000001,75.14080000000274
93.0,1190.5721600000006,-15052.830710000007,-861.5569999999976
94.0,-796.1559979999998,-40848.14,807.7882999999986
95.0,-461.59917999999976,-3586.1045000000004,-504.5252000000001
